en,zh-Hans,ja,it,es,de,fr,zh-Hant,ko,roomaji,ja-Hrkt
Elekid,电击怪,エレキッド,Elekid,Elekid,Elekid,Élekid,電擊怪,에레키드,Elekid,エレキッド
Ursaring,圈圈熊,リングマ,Ursaring,Ursaring,Ursaring,Ursaring,圈圈熊,링곰,Ringuma,リングマ
Anorith,太古羽虫,アノプス,Anorith,Anorith,Anorith,Anorith,太古羽蟲,아노딥스,Anopth,アノプス
Gardevoir,沙奈朵,サーナイト,Gardevoir,Gardevoir,Guardevoir,Gardevoir,沙奈朵,가디안,Sirnight,サーナイト
Combee,三蜜蜂,ミツハニー,Combee,Combee,Wadribie,Apitrini,三蜜蜂,세꿀버리,Mitsuhoney,ミツハニー
Mewtwo,超梦,ミュウツー,Mewtwo,Mewtwo,Mewtu,Mewtwo,超夢,뮤츠,Mewtwo,ミュウツー
Riolu,利欧路,リオル,Riolu,Riolu,Riolu,Riolu,利歐路,리오르,Riolu,リオル
Combusken,力壮鸡,ワカシャモ,Combusken,Combusken,Jungglut,Galifeu,力壯雞,영치코,Wakasyamo,ワカシャモ
Castform,飘浮泡泡,ポワルン,Castform,Castform,Formeo,Morphéo,飄浮泡泡,캐스퐁,Powalen,ポワルン
Spinda,晃晃斑,パッチール,Spinda,Spinda,Pandir,Spinda,晃晃斑,얼루기,Patcheel,パッチール
Cradily,摇篮百合,ユレイドル,Cradily,Cradily,Wielie,Vacilys,搖籃百合,릴리요,Yuradle,ユレイドル
Pidgeot,大比鸟,ピジョット,Pidgeot,Pidgeot,Tauboss,Roucarnage,大比鳥,피죤투,Pigeot,ピジョット
Kingler,巨钳蟹,キングラー,Kingler,Kingler,Kingler,Krabboss,巨鉗蟹,킹크랩,Kingler,キングラー
Exeggcute,蛋蛋,タマタマ,Exeggcute,Exeggcute,Owei,Noeunoeuf,蛋蛋,아라리,Tamatama,タマタマ
Lunatone,月石,ルナトーン,Lunatone,Lunatone,Lunastein,Séléroc,月石,루나톤,Lunatone,ルナトーン
Swampert,巨沼怪,ラグラージ,Swampert,Swampert,Sumpex,Laggron,巨沼怪,대짱이,Laglarge,ラグラージ
Rapidash,烈焰马,ギャロップ,Rapidash,Rapidash,Gallopa,Galopa,烈焰馬,날쌩마,Gallop,ギャロップ
Lairon,可多拉,コドラ,Lairon,Lairon,Stollrak,Galegon,可多拉,갱도라,Kodora,コドラ
Ho-Oh,凤王,ホウオウ,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,鳳王,칠색조,Houou,ホウオウ
Krabby,大钳蟹,クラブ,Krabby,Krabby,Krabby,Krabby,大鉗蟹,크랩,Crab,クラブ
Electivire,电击魔兽,エレキブル,Electivire,Electivire,Elevoltek,Élekable,電擊魔獸,에레키블,Elekible,エレキブル
Suicune,水君,スイクン,Suicune,Suicune,Suicune,Suicune,水君,스이쿤,Suikun,スイクン
Seadra,海刺龙,シードラ,Seadra,Seadra,Seemon,Hypocéan,海刺龍,시드라,Seadra,シードラ
Slugma,熔岩虫,マグマッグ,Slugma,Slugma,Schneckmag,Limagma,熔岩蟲,마그마그,Magmag,マグマッグ
Hoppip,毽子草,ハネッコ,Hoppip,Hoppip,Hoppspross,Granivol,毽子草,통통코,Hanecco,ハネッコ
Metang,金属怪,メタング,Metang,Metang,Metang,Métang,金屬怪,메탕구,Metang,メタング
Gastrodon,海兔兽,トリトドン,Gastrodon,Gastrodon,Gastrodon,Tritosor,海兔獸,트리토돈,Toritodon,トリトドン
Gloom,臭臭花,クサイハナ,Gloom,Gloom,Duflor,Ortide,臭臭花,냄새꼬,Kusaihana,クサイハナ
Natu,天然雀,ネイティ,Natu,Natu,Natu,Natu,天然雀,네이티,Naty,ネイティ
Carnivine,尖牙笼,マスキッパ,Carnivine,Carnivine,Venuflibis,Vortente,尖牙籠,무스틈니,Muskippa,マスキッパ
Tyranitar,班基拉斯,バンギラス,Tyranitar,Tyranitar,Despotar,Tyranocif,班基拉斯,마기라스,Bangiras,バンギラス
Bidoof,大牙狸,ビッパ,Bidoof,Bidoof,Bidiza,Keunotor,大牙狸,비버니,Bipper,ビッパ
Munchlax,小卡比兽,ゴンベ,Munchlax,Munchlax,Mampfaxo,Goinfrex,小卡比獸,먹고자,Gonbe,ゴンベ
Pupitar,沙基拉斯,サナギラス,Pupitar,Pupitar,Pupitar,Ymphect,沙基拉斯,데기라스,Sanagiras,サナギラス
Nuzleaf,长鼻叶,コノハナ,Nuzleaf,Nuzleaf,Blanas,Pifeuil,長鼻葉,잎새코,Konohana,コノハナ
Weedle,独角虫,ビードル,Weedle,Weedle,Hornliu,Aspicot,獨角蟲,뿔충이,Beedle,ビードル
Shuppet,怨影娃娃,カゲボウズ,Shuppet,Shuppet,Shuppet,Polichombr,怨影娃娃,어둠대신,Kagebouzu,カゲボウズ
Kricketune,音箱蟀,コロトック,Kricketune,Kricketune,Zirpeise,Mélokrik,音箱蟀,귀뚤톡크,Korotok,コロトック
Miltank,大奶罐,ミルタンク,Miltank,Miltank,Miltank,Écrémeuh,大奶罐,밀탱크,Miltank,ミルタンク
Machop,腕力,ワンリキー,Machop,Machop,Machollo,Machoc,腕力,알통몬,Wanriky,ワンリキー
Spinarak,圆丝蛛,イトマル,Spinarak,Spinarak,Webarak,Mimigal,圓絲蛛,페이검,Itomaru,イトマル
Cacnea,刺球仙人掌,サボネア,Cacnea,Cacnea,Tuska,Cacnea,刺球仙人掌,선인왕,Sabonea,サボネア
Cranidos,头盖龙,ズガイドス,Cranidos,Cranidos,Koknodon,Kranidos,頭蓋龍,두개도스,Zugaidos,ズガイドス
Dewgong,白海狮,ジュゴン,Dewgong,Dewgong,Jugong,Lamantine,白海獅,쥬레곤,Jugon,ジュゴン
Kecleon,变隐龙,カクレオン,Kecleon,Kecleon,Kecleon,Kecleon,變隱龍,켈리몬,Kakureon,カクレオン
Shiftry,狡猾天狗,ダーテング,Shiftry,Shiftry,Tengulist,Tengalice,狡猾天狗,다탱구,Dirteng,ダーテング
Ludicolo,乐天河童,ルンパッパ,Ludicolo,Ludicolo,Kappalores,Ludicolo,樂天河童,로파파,Runpappa,ルンパッパ
Rhyhorn,独角犀牛,サイホーン,Rhyhorn,Rhyhorn,Rihorn,Rhinocorne,獨角犀牛,뿔카노,Sihorn,サイホーン
Torchic,火稚鸡,アチャモ,Torchic,Torchic,Flemmli,Poussifeu,火稚雞,아차모,Achamo,アチャモ
Regice,雷吉艾斯,レジアイス,Regice,Regice,Regice,Regice,雷吉艾斯,레지아이스,Regice,レジアイス
Armaldo,太古盔甲,アーマルド,Armaldo,Armaldo,Armaldo,Armaldo,太古盔甲,아말도,Armaldo,アーマルド
Espeon,太阳伊布,エーフィ,Espeon,Espeon,Psiana,Mentali,太陽伊布,에브이,Eifie,エーフィ
Cubone,卡拉卡拉,カラカラ,Cubone,Cubone,Tragosso,Osselait,卡拉卡拉,탕구리,Karakara,カラカラ
Lumineon,霓虹鱼,ネオラント,Lumineon,Lumineon,Lumineon,Luminéon,霓虹魚,네오라이트,Neolant,ネオラント
Shedinja,脱壳忍者,ヌケニン,Shedinja,Shedinja,Ninjatom,Munja,脫殼忍者,껍질몬,Nukenin,ヌケニン
Sneasel,狃拉,ニューラ,Sneasel,Sneasel,Sniebel,Farfuret,狃拉,포푸니,Nyula,ニューラ
Ledyba,芭瓢虫,レディバ,Ledyba,Ledyba,Ledyba,Coxy,芭瓢蟲,레디바,Rediba,レディバ
Hitmontop,战舞郎,カポエラー,Hitmontop,Hitmontop,Kapoera,Kapoera,戰舞郎,카포에라,Kapoerer,カポエラー
Kingdra,刺龙王,キングドラ,Kingdra,Kingdra,Seedraking,Hyporoi,刺龍王,킹드라,Kingdra,キングドラ
